P;PID;FLC;FLC3
0.976674;1.01172;0.99998;1.00003
0.977305;1.01172;0.999983;1.00003
0.977966;1.01171;0.999987;1.00002
0.978654;1.01171;0.999992;1.00002
0.979368;1.01171;0.999996;1.00002
0.980105;1.0117;1;1.00002
0.980864;1.0117;1.00001;1.00002
0.981642;1.01169;1.00001;1.00001
0.982438;1.01169;1.00002;1.00001
0.98325;1.01168;1.00002;1.00001
0.984075;1.01168;1.00003;1.00001
0.984912;1.01167;1.00003;1
0.985759;1.01167;1.00004;1
0.986614;1.01166;1.00004;1
0.987475;1.01166;1.00004;0.999999
0.98834;1.01165;1.00004;0.999997
0.989207;1.01165;1.00005;0.999995
0.990075;1.01164;1.00005;0.999994
0.990942;1.01164;1.00004;0.999993
0.991806;1.01163;1.00004;0.999992
0.992665;1.01162;1.00004;0.999991
0.993519;1.01162;1.00004;0.99999
0.994365;1.01161;1.00004;0.99999
0.995203;1.0116;1.00003;0.999989
0.99603;1.0116;1.00003;0.999989
0.996845;1.01159;1.00002;0.999989
0.997646;1.01158;1.00002;0.999989
0.998434;1.01158;1.00002;0.999989
0.999206;1.01157;1.00001;0.99999
0.999961;1.01156;1.00001;0.99999
1.0007;1.01156;1.00001;0.99999
1.00142;1.01155;1;0.999991
1.00212;1.01154;1;0.999992
1.00279;1.01154;0.999998;0.999993
1.00345;1.01153;0.999996;0.999993
1.00408;1.01152;0.999995;0.999994
1.0047;1.01151;0.999994;0.999995
1.00528;1.01151;0.999994;0.999996
1.00585;1.0115;0.999993;0.999997
1.00638;1.01149;0.999994;0.999998
1.0069;1.01148;0.999994;0.999998
1.00738;1.01147;0.999995;0.999999
1.00785;1.01147;0.999996;1
1.00828;1.01146;0.999997;1
1.00869;1.01145;0.999999;1
1.00907;1.01144;1;1
1.00943;1.01143;1;1
1.00975;1.01143;1;1
1.01005;1.01142;1.00001;1
1.01033;1.01141;1.00001;1
1.01058;1.0114;1.00001;1
1.0108;1.01139;1.00001;1
1.01099;1.01138;1.00001;1
1.01116;1.01137;1.00001;1
1.0113;1.01137;1.00001;1
1.01142;1.01136;1.00001;1
1.01151;1.01135;1.00001;1
1.01158;1.01134;1.00001;1
1.01162;1.01133;1.00001;1
1.01164;1.01132;1.00001;1
1.01163;1.01131;1.00001;1
1.01161;1.0113;1.00001;1
1.01156;1.01129;1.00001;1
1.01149;1.01129;1.00001;1
1.01139;1.01128;1.00001;1
1.01128;1.01127;1.00001;1
1.01115;1.01126;1.00001;1
1.011;1.01125;1.00001;1
1.01083;1.01124;1;1
1.01065;1.01123;1;1
1.01044;1.01122;1;1
1.01023;1.01121;1;1
1.00999;1.0112;1;1
1.00975;1.01119;1;0.999999
1.00949;1.01118;0.999999;0.999999
1.00921;1.01117;0.999999;0.999999
1.00893;1.01116;0.999998;0.999999
1.00863;1.01115;0.999998;0.999999
1.00833;1.01114;0.999998;0.999999
1.00802;1.01114;0.999998;0.999998
1.00769;1.01113;0.999998;0.999998
1.00736;1.01112;0.999998;0.999998
1.00703;1.01111;0.999999;0.999998
1.00668;1.0111;0.999999;0.999998
1.00634;1.01109;1;0.999998
1.00599;1.01108;1;0.999998
1.00563;1.01107;1;0.999999
1.00527;1.01106;1;0.999999
1.00491;1.01105;1;0.999999
1.00455;1.01104;1;0.999999
1.00419;1.01103;1;0.999999
1.00383;1.01102;1;0.999999
1.00347;1.01101;1;0.999999
1.00311;1.011;1;0.999999
1.00276;1.01099;1;0.999999
1.00241;1.01098;1;0.999999
1.00206;1.01097;1;1
1.00171;1.01096;1;1
1.00137;1.01095;1;1
1.00104;1.01094;1;1
1.00071;1.01093;1;1
1.00039;1.01092;1;1
1.00007;1.01091;1;1
0.999764;1.0109;1;1
0.999463;1.01089;1;1
0.999171;1.01088;1;1
0.998888;1.01087;1;1
0.998613;1.01086;1;1
0.998348;1.01085;1;1
0.998092;1.01084;1;1
0.997846;1.01083;1;1
0.99761;1.01082;1;1
0.997384;1.01081;1;1
0.997169;1.0108;1;1
0.996964;1.01078;1;1
0.99677;1.01077;1;1
0.996588;1.01076;1;1
0.996416;1.01075;0.999999;1
0.996255;1.01074;0.999999;1
0.996105;1.01073;0.999999;1
0.995967;1.01072;0.999999;1
0.99584;1.01071;1;1
0.995724;1.0107;1;1
0.995619;1.01069;1;1
0.995525;1.01068;1;1
0.995443;1.01067;1;1
0.995371;1.01066;1;1
0.99531;1.01065;1;1
0.995259;1.01064;1;1
0.995219;1.01063;1;1
0.99519;1.01062;1;1
0.99517;1.01061;1;1
0.995161;1.0106;1;1
0.995161;1.01059;1;1
0.995171;1.01058;1;1
0.99519;1.01057;1;1
0.995217;1.01056;1;1
0.995254;1.01055;1;1
0.995299;1.01054;1;1
0.995353;1.01053;1;1
0.995414;1.01052;1;1
0.995482;1.01051;1;1
0.995558;1.0105;1;1
0.995641;1.01049;1;1
0.995731;1.01047;1;1
0.995826;1.01046;1;1
0.995928;1.01045;1;1
0.996035;1.01044;1;1
0.996148;1.01043;1;1
0.996265;1.01042;1;1
0.996387;1.01041;1;1
0.996513;1.0104;1;1
0.996643;1.01039;1;1
0.996776;1.01038;1;1
0.996913;1.01037;1;1
