Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,44.09,44.09,42.630001,43.189999,43.189999,255928
2015-12-30,43.330002,43.52,43.080002,43.25,43.25,363165
2016-01-04,43.049999,43.189999,41.599998,42,42,484165
2016-01-05,42.02,42.400002,39.900002,41,41,681948
2016-01-06,40.529999,41,39.299999,40.709999,40.709999,509814
2016-01-07,39.810001,39.810001,37.290001,37.380001,37.380001,1559273
2016-01-08,37.849998,37.860001,35.400002,36,36,723193
2016-01-11,35.5,36.98,35.299999,36.43,36.43,512856
2016-01-12,36.349998,36.59,35.099998,36.110001,36.110001,568281
2016-01-13,36.98,40.09,36,38.5,38.5,683382
2016-01-14,37.849998,39,36.259998,37.900002,37.900002,855482
2016-01-15,37.959999,39.869999,36,37.650002,37.650002,585826
2016-01-18,37.5,38.299999,37.200001,38.110001,38.110001,406202
2016-01-19,38.900002,39.900002,38.27,39.810001,39.810001,868674
2016-01-20,39.34,39.75,34.860001,35.900002,35.900002,1513872
2016-01-21,36.5,36.5,33.400002,34,34,1570073
2016-01-22,34.509998,37.400002,34.419998,37.200001,37.200001,1330102
2016-01-25,37.529999,39.73,36.400002,38.82,38.82,624663
2016-01-26,38.380001,39.400002,37.720001,38.759998,38.759998,358221
2016-01-27,39.25,39.419998,37.09,37.799999,37.799999,382511
2016-01-28,37.939999,39.169998,37.119999,38.669998,38.669998,436416
2016-01-29,39.040001,40.549999,38.549999,40.349998,40.349998,658844
2016-02-01,40.799999,41.18,39.900002,40.150002,40.150002,326725
2016-02-02,39.549999,40.400002,38.799999,39.5,39.5,228744
2016-02-03,39.5,40.68,39.02,39.73,39.73,424136
2016-02-04,40.200001,41.119999,39.77,41,41,388276
2016-02-05,41,42.490002,40.439999,41,41,508427
2016-02-08,42.43,42.529999,38.48,38.619999,38.619999,382223
2016-02-09,38.5,39.34,37.299999,38.790001,38.790001,408510
2016-02-10,38.799999,40.799999,38.09,40.080002,40.080002,795223
2016-02-11,40.009998,40.009998,38.34,38.869999,38.869999,493812
2016-02-12,40,41.5,39.009998,40.299999,40.299999,597773
2016-02-15,41.849998,43.299999,41.27,41.950001,41.950001,628653
2016-02-16,42.779999,43.310001,41.07,41.459999,41.459999,437631
2016-02-17,40.580002,42.990002,40.580002,42.75,42.75,788513
2016-02-18,43.400002,44.720001,42.810001,43.810001,43.810001,891151
2016-02-19,43.330002,45.200001,43.330002,45,45,467682
2016-02-22,45.299999,46.299999,44.310001,44.52,44.52,576539
2016-02-23,44.299999,44.470001,42.799999,43.700001,43.700001,538591
2016-02-24,43.700001,43.860001,41.049999,41.220001,41.220001,441308
2016-02-25,41.970001,42.700001,41.810001,42.130001,42.130001,395590
2016-02-26,42.25,43.189999,42.25,43.02,43.02,221926
2016-02-29,43.209999,45.700001,43.189999,45.299999,45.299999,442174
2016-03-01,45.490002,46.5,44.279999,44.970001,44.970001,322015
2016-03-02,45.950001,46.369999,43.98,44.09,44.09,249399
2016-03-03,44.759998,45,44.099998,44.580002,44.580002,199867
2016-03-04,44.990002,46.220001,44.400002,45.82,45.82,542275
2016-03-07,46,46.310001,44.470001,44.889999,44.889999,430078
2016-03-08,45.02,45.02,43.299999,43.610001,43.610001,532972
2016-03-09,43.799999,44.25,42.799999,43.310001,43.310001,335125
2016-03-10,43.950001,45.389999,43.610001,44.400002,44.400002,453898
2016-03-11,44.529999,45.099998,44,44.900002,44.900002,380391
2016-03-14,45.099998,47.049999,45.049999,46.900002,46.900002,373588
2016-03-15,46.23,47.98,46.23,47.75,47.75,394840
2016-03-16,47.400002,48.330002,45.68,46,46,278379
2016-03-17,46.150002,46.400002,44.27,44.849998,44.849998,224187
2016-03-18,45.200001,45.310001,42.52,43.34,43.34,611455
2016-03-21,43.5,44,43,43.380001,43.380001,234703
2016-03-22,43.549999,45.23,43.009998,45.07,45.07,130877
2016-03-23,null,null,null,null,null,null
2016-03-29,44.740002,45.639999,44.700001,45.360001,45.360001,251314
2016-03-30,45.900002,46.75,45.75,46.75,46.75,405361
2016-03-31,46.349998,46.740002,45.889999,46.080002,46.080002,408061
2016-04-01,46,46.900002,45.900002,46.57,46.57,430802
2016-04-04,46.5,46.900002,46.240002,46.400002,46.400002,176688
2016-04-05,46.299999,46.299999,45.66,45.900002,45.900002,105318
2016-04-06,46.380001,47.75,45.950001,47.650002,47.650002,343278
2016-04-07,48.290001,48.439999,46.330002,46.459999,46.459999,286348
2016-04-08,46.5,47.5,46.470001,47.5,47.5,258431
2016-04-11,47.299999,47.75,46.419998,46.75,46.75,294353
2016-04-12,46.610001,46.700001,45.689999,45.889999,45.889999,406005
2016-04-13,46.599998,47.560001,46.25,46.990002,46.990002,604520
2016-04-14,47.490002,48.900002,47.200001,48.299999,48.299999,754523
2016-04-15,48.439999,48.490002,46.810001,47.509998,47.509998,297265
2016-04-18,47.009998,47.57,46.849998,46.900002,46.900002,348163
2016-04-19,44.639999,45.290001,43.639999,44,44,2087521
2016-04-20,43.869999,44.330002,41.790001,41.900002,41.900002,938969
2016-04-21,42.189999,43.990002,42.02,43.099998,43.099998,337512
2016-04-22,43.060001,43.799999,42.66,43,43,280737
2016-04-25,43.009998,43.099998,41.669998,42.200001,42.200001,279722
2016-04-26,42.02,44,41.990002,44,44,316986
2016-04-27,44,44.349998,43.669998,44.139999,44.139999,327796
2016-04-28,44.299999,47.41,43.779999,47,47,631554
2016-04-29,46.549999,47.200001,46.380001,46.849998,46.849998,308667
2016-05-02,46.919998,46.919998,46.09,46.27,46.27,250843
2016-05-03,46.41,46.419998,45.48,45.669998,45.669998,306213
2016-05-04,45.84,45.860001,44.169998,44.68,44.68,263245
2016-05-06,44.5,45.880001,44.400002,44.650002,44.650002,142474
2016-05-09,44.5,44.700001,42.639999,42.73,42.73,346325
2016-05-10,42.860001,43.07,42.200001,43,43,463115
2016-05-11,43,43.200001,42.549999,42.939999,42.939999,336259
2016-05-12,43.200001,43.330002,41.709999,41.75,41.75,323578
2016-05-13,41.66,42.200001,41.330002,41.98,41.98,357566
2016-05-18,43.490002,43.5,41.830002,42.790001,42.790001,329875
2016-05-19,43,43,41.630001,41.900002,41.900002,284555
2016-05-20,42.040001,42.130001,40.41,40.830002,40.830002,612075
2016-05-23,41.029999,42.790001,40.939999,42.360001,42.360001,380504
2016-05-24,42.150002,42.650002,41.02,41.380001,41.380001,451674
2016-05-25,41.599998,42.75,41.560001,42.650002,42.650002,434003
2016-05-26,42.639999,42.650002,41.169998,41.889999,41.889999,362647
2016-05-27,42,42.950001,41.950001,42.349998,42.349998,268448
2016-05-30,42.880001,42.889999,41.849998,42,42,180661
2016-05-31,42,42.189999,41.16,41.16,41.16,1019496
2016-06-01,41.540001,42.049999,40.740002,41.209999,41.209999,678641
2016-06-02,41.48,42,41.25,41.950001,41.950001,328637
2016-06-03,42.290001,43.900002,42.139999,43.57,43.57,867535
2016-06-06,43.490002,43.549999,41.900002,42.290001,42.290001,726045
2016-06-07,42.209999,42.209999,39.889999,41,41,744749
2016-06-08,41.700001,41.700001,39.720001,39.740002,39.740002,624973
2016-06-09,39.799999,39.900002,38.349998,39.150002,39.150002,581528
2016-06-10,38.990002,39.59,38.5,38.669998,38.669998,346111
2016-06-13,38.919998,38.990002,37.09,37.66,37.66,581909
2016-06-14,37.970001,37.98,35.869999,36.099998,36.099998,685304
2016-06-15,36.400002,37.700001,36.330002,36.400002,36.400002,829544
2016-06-16,36.049999,36.07,34.66,35.25,35.25,1736917
2016-06-17,35.799999,36.900002,35.5,36.900002,36.900002,555454
2016-06-20,37.200001,38.099998,36.799999,38,38,740263
2016-06-21,38.5,38.5,36.900002,37.200001,37.200001,546098
2016-06-22,37.799999,37.799999,35.700001,36.400002,36.400002,552845
2016-06-23,36.400002,37,36.099998,36.200001,36.200001,456073
2016-06-24,32.200001,35.5,32,34.799999,34.799999,1161980
2016-06-27,34.799999,35.099998,32.299999,32.5,32.5,687151
2016-06-28,32.799999,33.799999,32.400002,33.799999,33.799999,799892
2016-06-29,34.200001,35,33.799999,34.200001,34.200001,368218
2016-06-30,34.5,34.5,33.599998,34.099998,34.099998,373947
2016-07-01,34.299999,34.599998,33.599998,34,34,388738
2016-07-04,34.099998,34.700001,34,34.5,34.5,312591
2016-07-05,34.200001,34.200001,33.099998,33.700001,33.700001,513668
2016-07-06,33.599998,34,33.099998,33.299999,33.299999,397021
2016-07-07,33.299999,34.700001,33.299999,34.200001,34.200001,561460
2016-07-08,34.299999,35.700001,34.200001,35.599998,35.599998,284601
2016-07-11,35.799999,36.900002,35.799999,36.299999,36.299999,384347
2016-07-12,37.299999,38.099998,35.599998,36.099998,36.099998,621016
2016-07-13,33.599998,36.799999,32.5,36.299999,36.299999,789085
2016-07-14,36.299999,36.299999,34.200001,34.5,34.5,373385
2016-07-15,34.299999,35.400002,34.099998,35,35,186018
2016-07-18,35.400002,35.700001,34.200001,34.599998,34.599998,280943
2016-07-19,34.5,35.900002,34.5,35.700001,35.700001,246620
2016-07-20,36,36.099998,35,35.299999,35.299999,216464
2016-07-21,35.700001,35.799999,35.099998,35.799999,35.799999,261511
2016-07-22,35.200001,35.5,35,35.099998,35.099998,160938
2016-07-25,35.200001,36.799999,35,36.299999,36.299999,98356
2016-07-26,36.299999,38.200001,35.799999,38.200001,38.200001,292704
2016-07-27,37.799999,39.400002,37.099998,39,39,616612
2016-07-28,39,39.299999,37.599998,37.700001,37.700001,151161
2016-07-29,38.5,38.599998,37.5,38,38,113453
2016-08-01,38,39.700001,38,39.5,39.5,381241
2016-08-02,39.5,39.5,37.900002,38.099998,38.099998,189154
2016-08-03,38,38.200001,37,38,38,184314
2016-08-04,38.299999,39,37.599998,37.700001,37.700001,142574
2016-08-05,37.900002,38.5,37.5,38,38,314543
2016-08-08,38,39,37.400002,38.700001,38.700001,239000
2016-08-09,38.700001,40.099998,38.5,39.900002,39.900002,436717
2016-08-10,40,41.5,39,40.599998,40.599998,539702
2016-08-11,41,41,39.900002,40.5,40.5,366690
2016-08-12,41.099998,41.099998,40.5,40.700001,40.700001,191397
2016-08-15,40.700001,41,40.400002,40.900002,40.900002,135999
2016-08-16,41.299999,41.299999,39.299999,39.5,39.5,166286
2016-08-17,39.799999,40,37.299999,37.700001,37.700001,351677
2016-08-18,37.900002,38.5,37.299999,38.299999,38.299999,307105
2016-08-19,38.700001,39.200001,38.299999,38.700001,38.700001,86855
2016-08-22,39.299999,39.299999,38.400002,39.099998,39.099998,115032
2016-08-23,39,39.099998,38.400002,38.5,38.5,68292
2016-08-24,38.700001,39.900002,38.700001,39.900002,39.900002,153588
2016-08-25,39.099998,39.400002,38,38.5,38.5,238344
2016-08-26,38.299999,39.700001,38.200001,39.599998,39.599998,160063
2016-08-29,39.299999,39.799999,39,39.5,39.5,97074
2016-08-30,39.400002,39.799999,39,39.299999,39.299999,102115
